Freq.	V(n001)/I(Iin2)
3.71535229097176e+04	(-3.67063129229751e+00dB,1.30734812239555e+01°)
3.75837404288447e+04	(-3.66540675862097e+00dB,1.32194976993941e+01°)
3.80189396320564e+04	(-3.66006702883409e+00dB,1.33670244757695e+01°)
3.84591782045357e+04	(-3.65460970925626e+00dB,1.35160731576386e+01°)
3.89045144994284e+04	(-3.64903236294627e+00dB,1.36666553026190e+01°)
3.93550075455781e+04	(-3.64333250923365e+00dB,1.38187824156732e+01°)
3.98107170553501e+04	(-3.63750762325603e+00dB,1.39724659435219e+01°)
4.02717034325463e+04	(-3.63155513543876e+00dB,1.41277172686659e+01°)
4.07380277804116e+04	(-3.62547243106551e+00dB,1.42845477033656e+01°)
4.12097519097334e+04	(-3.61925684980301e+00dB,1.44429684832943e+01°)
4.16869383470339e+04	(-3.61290568528349e+00dB,1.46029907612442e+01°)
4.21696503428586e+04	(-3.60641618462768e+00dB,1.47646256003432e+01°)
