Freq.,V(ideal_out).mag,V(ideal_out).phase,V(lpf_3rd_lt1818).mag,V(lpf_3rd_lt1818).phase
562341.3252,60.78958215,-3.72691368,61.13554542,-4.137955619
568852.9308,60.78940349,-3.770045305,61.1353592,-4.185843077
575439.9373,60.78922067,-3.813675528,61.13516865,-4.234284069
582103.2178,60.78903359,-3.857810094,61.13497367,-4.283284971
588843.6554,60.78884217,-3.90245481,61.13477415,-4.33285223
595662.1435,60.78864629,-3.947615554,61.13456999,-4.382992368
602559.5861,60.78844585,-3.993298266,61.13436108,-4.433711982
609536.8972,60.78824075,-4.039508959,61.13414731,-4.48501774
616595.0019,60.78803088,-4.086253709,61.13392857,-4.536916391
623734.8355,60.78781612,-4.133538666,61.13370474,-4.589414757
630957.3445,60.78759637,-4.181370046,61.1334757,-4.642519739
638263.4862,60.78737151,-4.229754138,61.13324134,-4.696238317
645654.229,60.78714141,-4.278697301,61.13300153,-4.750577548
653130.5526,60.78690596,-4.328205968,61.13275614,-4.805544571
660693.448,60.78666504,-4.378286644,61.13250504,-4.861146606
668343.9176,60.78641851,-4.428945908,61.1322481,-4.917390954
676082.9754,60.78616624,-4.480190412,61.13198519,-4.974284999
683911.6473,60.78590811,-4.532026886,61.13171617,-5.031836208
691830.9709,60.78564398,-4.584462136,61.13144089,-5.090052135
699841.996,60.7853737,-4.637503042,61.13115921,-5.148940416
707945.7844,60.78509713,-4.691156566,61.13087098,-5.208508776
716143.4102,60.78481413,-4.745429746,61.13057604,-5.268765025
724435.9601,60.78452455,-4.8003297,61.13027426,-5.329717064
732824.5331,60.78422824,-4.855863627,61.12996545,-5.391372881
741310.2413,60.78392504,-4.912038808,61.12964947,-5.453740556
749894.2093,60.78361478,-4.968862605,61.12932614,-5.516828257
758577.575,60.78329731,-5.026342463,61.1289953,-5.580644246
767361.4894,60.78297246,-5.08448591,61.12865677,-5.64519688
776247.1166,60.78264006,-5.143300563,61.12831037,-5.710494606
785235.6346,60.78229992,-5.202794119,61.12795592,-5.776545969
794328.2347,60.78195188,-5.262974366,61.12759323,-5.843359609
803526.1222,60.78159575,-5.323849178,61.12722211,-5.910944263
812830.5162,60.78123134,-5.385426517,61.12684237,-5.979308765
822242.6499,60.78085846,-5.447714434,61.12645381,-6.04846205
831763.7711,60.78047691,-5.510721073,61.12605622,-6.118413153
841395.1416,60.7800865,-5.574454666,61.12564939,-6.189171208
851138.0382,60.779687,-5.638923539,61.12523311,-6.260745453
860993.7522,60.77927823,-5.704136111,61.12480716,-6.333145228
870963.59,60.77885995,-5.770100895,61.12437131,-6.40637998
881048.873,60.77843195,-5.836826499,61.12392535,-6.480459258
891250.9381,60.77799401,-5.904321628,61.12346902,-6.555392719
901571.1376,60.77754589,-5.972595082,61.1230021,-6.631190128
912010.8394,60.77708736,-6.041655762,61.12252433,-6.707861358
922571.4272,60.77661818,-6.111512665,61.12203547,-6.785416391
933254.3008,60.7761381,-6.182174891,61.12153526,-6.863865323
944060.8763,60.77564686,-6.253651638,61.12102344,-6.943218357
954992.586,60.77514421,-6.32595221,61.12049973,-7.023485814
966050.879,60.77462989,-6.399086012,61.11996387,-7.104678126
977237.221,60.77410362,-6.473062551,61.11941556,-7.186805842
988553.0947,60.77356513,-6.547891444,61.11885454,-7.269879628
1000000,60.77301413,-6.623582411,61.11828049,-7.353910265
1011579.454,60.77245034,-6.70014528,61.11769312,-7.438908655
1023292.992,60.77187345,-6.777589989,61.11709212,-7.52488582
1035142.167,60.77128317,-6.855926582,61.11647717,-7.611852904
1047128.548,60.77067919,-6.935165218,61.11584796,-7.69982117
1059253.725,60.77006119,-7.015316163,61.11520416,-7.788802009
1071519.305,60.76942884,-7.096389801,61.11454542,-7.878806933
1083926.914,60.76878181,-7.178396625,61.1138714,-7.969847583
1096478.196,60.76811977,-7.261347246,61.11318175,-8.061935724
1109174.815,60.76744236,-7.345252389,61.11247611,-8.155083252
1122018.454,60.76674923,-7.430122898,61.1117541,-8.249302193
1135010.816,60.76604002,-7.515969735,61.11101536,-8.3446047
1148153.621,60.76531436,-7.602803979,61.11025949,-8.441003062
1161448.614,60.76457186,-7.690636832,61.10948611,-8.5385097
1174897.555,60.76381213,-7.779479617,61.1086948,-8.637137168
1188502.227,60.76303479,-7.869343779,61.10788515,-8.736898159
1202264.435,60.76223942,-7.960240889,61.10705674,-8.8378055
1216186.001,60.7614256,-8.05218264,61.10620914,-8.939872156
1230268.771,60.76059291,-8.145180853,61.10534191,-9.043111235
1244514.612,60.75974091,-8.239247476,61.10445458,-9.147535982
1258925.412,60.75886917,-8.334394586,61.10354671,-9.253159786
1273503.081,60.75797721,-8.430634388,61.10261782,-9.359996178
1288249.552,60.75706458,-8.52797922,61.10166742,-9.468058835
1303166.778,60.75613081,-8.626441549,61.10069502,-9.577361577
1318256.739,60.75517539,-8.726033977,61.09970011,-9.687918375
1333521.432,60.75419784,-8.826769241,61.09868218,-9.799743344
1348962.883,60.75319764,-8.92866021,61.0976407,-9.912850752
1364583.137,60.75217428,-9.031719894,61.09657511,-10.02725501
